path,license_expression,copyright,evidence
deploy/sandbox/linux-arm64/codex-linux-sandbox,Apache-2.0,2026 OpenAI,built from openai/codex codex-rs/linux-sandbox commit da4c8ca57d40b074bdc1b5b1218851100150c56b
deploy/sandbox/seatbelt_base_policy.sbpl,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
deploy/sandbox/seatbelt_network_policy.sbpl,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docker-compose.release.yml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docker-compose.selfhosted.release.yml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docker-compose.selfhosted.yml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docker-compose.yml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/README.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/adr/0002-ffmpeg-system-dependency.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/compliance/copyleft-deps.csv,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/compliance/npm-dependency-licenses.csv,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/compliance/python-dependency-licenses.csv,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/compliance/system-deps.csv,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/en/README.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/en/concepts/architecture.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/en/concepts/features.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/en/getting-started/configuring-models.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/en/getting-started/installation.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/en/getting-started/quickstart.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/en/guides/ffmpeg.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/en/guides/mcp-claude-code.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/en/guides/self-hosting.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/en/guides/telemetry.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/en/guides/troubleshooting.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/en/license.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/en/reference/environment-variables.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/releasing.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/test-governance/ee-split-migrated-tests.tsv,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/zh/README.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/zh/concepts/architecture.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/zh/concepts/features.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/zh/getting-started/configuring-models.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/zh/getting-started/installation.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/zh/getting-started/quickstart.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/zh/guides/ffmpeg.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/zh/guides/self-hosting.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/zh/guides/telemetry.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/zh/guides/troubleshooting.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/zh/license.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
docs/zh/reference/environment-variables.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
examples/__init__.py,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
examples/seedance2_fast_demo.py,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/.dockerignore,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/.env.ce,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/.env.example,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/.gitignore,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/Dockerfile,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/LICENSE,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/LICENSES/CC0-1.0.txt,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/LICENSES/Elastic-2.0.txt,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/NOTICE,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/README.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/REUSE.toml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/THIRD-PARTY-LICENSES.txt,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/components.json,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/docker/nginx.conf.template,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/index.html,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/package.json,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/pnpm-lock.yaml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/pnpm-workspace.yaml,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/brand/dclogo.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/brand/dramaclaw-logo-login.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/brand/dramaclaw-wordmark.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/brand/logo-d.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/brand/party-founding-105.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/favicon.svg,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/fonts/OFL.txt,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/fonts/README.md,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/fonts/piko-countdown-pixel.woff,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/icons.svg,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/aperture/f-1-4.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/aperture/f-11.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/aperture/f-4.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/avatar-claw.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/avatar-motion.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/bg-chat-buttom.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/btnmotion.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/button-director.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/camera/arri-alexa-35.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/camera/arri-alexa-65.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/camera/arricam-lt.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/camera/arriflex-435.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/camera/imax-film-camera.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/camera/imax-keighley.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/camera/panavision-dxl2.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/camera/red-v-raptor.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/camera/sony-venice.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/companion-title-ok-buddy.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/lens/arri-signature-prime.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/lens/canon-k-35.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/lens/cooke-panchro.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/lens/cooke-s4.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/lens/cooke-sf-1-8x.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/lens/hawk-class-x.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/lens/helios.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/lens/panavision-c-series.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/lens/panavision-primo.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/images/lens/zeiss-ultra-prime.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/liexiaoren/skin/entry-badge.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/liexiaoren/skin/modal-close-button.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/liexiaoren/skin/modal-frame.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/liexiaoren/skin/modal-play-button.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/liexiaoren/skin/modal-preview-poster.jpg,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/liexiaoren/skin/modal-primary-button.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/liexiaoren/skin/modal-secondary-button.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/liexiaoren/skin/modal-title.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/liexiaoren/skin/poster.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/locales/en/translation.json,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/locales/zh/translation.json,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/login-cinematic/final-mark.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/login-cinematic/fonts/DingTalk_JinBuTi_Title.woff2,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/login-community/ember-crown.jpg,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/login-community/floating-market.jpg,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/login-community/glass-signal.jpg,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/login-community/last-take.jpg,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/login-community/neon-patrol.jpg,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/login-community/paper-city.jpg,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/login-community/rainy-night.jpg,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/login-community/silent-arcade.jpg,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/petdex/gugugaga-2.webp,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/petdex/lulu-capybara-2.webp,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/petdex/pets.json,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/petdex/yinyue-2.webp,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/petdex/zhizhi.webp,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/balloon-bubble.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/bow-red.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/cape-red.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/carrot-judy.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/code-ling.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/code-ning.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/code-xia.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/code-yu.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/crown-little-king.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/dumbbell.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/emperor-new-clothes-preview.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/goggles-diver.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/goggles-minion.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/gourd.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/hammer-odin.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/hat-bamboo.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/hat-wizard.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/headband-mengnan.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/horns-asgard.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/luban-compass.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/luban-talisman.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/mask-azu.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/mask-dark-knight.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/medal-founder.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/mustache-little-king.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/pacifier.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/pet-boar-yuntianhe.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/pet-ghost.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/pet-ufo.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/plume-wukong.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/red-star-sparkle.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/scepter-little-king.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/shield-captain.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/snail-gary.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/spear-fire-tip.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/staff-golden-hoop.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/sword-cyan.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/thumbs-up.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/accessories/wand-mengnan.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/entry/companion-capsule.png,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/sounds/bgm.mp3,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/sounds/power-up-collect.wav,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/sounds/ultimate-cast.wav,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/sounds/ultimate-nearly-ready.wav,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/piko/sounds/ultimate-ready.wav,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/video/ai-avatar.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/video/camera-presets/aerial.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/video/camera-presets/crane-down.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/video/camera-presets/crane-up.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/video/camera-presets/dolly-in.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/video/camera-presets/dolly-out.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/video/camera-presets/dolly-zoom.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/video/camera-presets/drone.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/video/camera-presets/fixed.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/video/camera-presets/follow.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/video/camera-presets/fpv.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/video/camera-presets/handheld.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/video/camera-presets/orbit.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/video/camera-presets/pan-left.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/video/camera-presets/pan-right.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/video/camera-presets/roll.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/video/camera-presets/spiral-down.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/video/camera-presets/spiral-up.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/video/camera-presets/tilt-down.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/video/camera-presets/tilt-up.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/video/camera-presets/truck-left.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/video/camera-presets/truck-right.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/video/camera-presets/zoom-in.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/video/camera-presets/zoom-out.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
frontend/public/video/loading.mp4,Elastic-2.0,2026 SuperTale contributors,REUSE.toml aggregate annotation
